author,title,date,style,genre,media,dimensions,tag,location,link,image
Milton Resnick,Flag,1963,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads3.wikiart.org/images/milton-resnick/flag-1963.jpg,flag-1963.jpg
Milton Resnick,Untitled,1963,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/milton-resnick/untitled-1963.jpg,untitled-1963.jpg
Milton Resnick,Hawkeye II,1971,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/milton-resnick/hawkeye-ii-1971.jpg,hawkeye-ii-1971.jpg
Milton Resnick,Dark Forest,1975,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/milton-resnick/dark-forest-1975.jpg,dark-forest-1975.jpg
Milton Resnick,Bruno,1982,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads4.wikiart.org/images/milton-resnick/bruno-1982.jpg,bruno-1982.jpg
Milton Resnick,Straw,1982,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads4.wikiart.org/images/milton-resnick/straw-1982.jpg,straw-1982.jpg
Milton Resnick,Untitled,1982,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/milton-resnick/untitled-1982.jpg,untitled-1982.jpg
Milton Resnick,Untitled,1988,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/milton-resnick/untitled-1988.jpg,untitled-1988.jpg
Milton Resnick,Ulysses,1991,Abstract Expressionism,figurative,N/A,N/A,N/A,N/A,https://uploads6.wikiart.org/images/milton-resnick/ulysses-1991.jpg,ulysses-1991.jpg
Milton Resnick,Me and Me,1994,Abstract Expressionism,figurative,N/A,N/A,N/A,N/A,https://uploads8.wikiart.org/images/milton-resnick/me-and-me-1994.jpg,me-and-me-1994.jpg
